	kainoki_id	first_half	connective	second_half	arg1	arg2	classification_label	ASP	NEG	MOD	CNJ	FOC	QUE	IMP
0	7_aozora_Akutagawa-1921	亜米利加人 は そう 言い	ながら	、 新しい 巻煙草 へ 火 を つけ まし た 。	そう 言い	、 *T* 新しい 巻煙草 へ 火 を つけ まし た 。	synchronous	0	0	0	0	0	0	0
1	53_aozora_Akutagawa-1921	婆さん は 眼 を 怒ら せ	ながら	、 そこ に あっ た 箒 を ふり上げ まし た 。	眼 を 怒ら せ	、 *T* そこ に あっ た 箒 を ふり上げ まし た 。	synchronous	0	0	0	0	0	0	0
2	93_aozora_Akutagawa-1921	遠藤 は こう 言い	ながら	、 上衣 の 隠し に 手 を 入れる と 、 一 挺 の ピストル を 引き出し まし た 。	*pro* こう 言い	、 上衣 の 隠し に 手 を 入れる	synchronous	0	0	0	0	0	0	0
3	117_aozora_Akutagawa-1921	ちょいと の 間 は 不思議 そう に 、 あたり を 見廻し て い まし た が 、 忽ち 又 勇気 を とり直す と 、 「 魔法使め 」 と 罵り	ながら	、 虎 の よう に 婆さん へ 飛びかかり まし た 。	*pro* 「 魔法使め 」 と 罵り	、 虎 の よう に 婆さん へ 飛びかかり まし た 。	synchronous	0	0	0	0	0	0	0
4	121_aozora_Akutagawa-1921	遠藤 は とうとう たまり 兼ね て 、 火花 の 旋風 に 追わ れ	ながら	、 転げる よう に 外 へ 逃げ出し まし た 。	火花 の 旋風 に 追わ れ	、 転げる よう に 外 へ 逃げ出し まし た 。	synchronous	0	0	0	0	0	0	0
5	123_aozora_Akutagawa-1921	その 夜 の 十二 時 に 近い 時分 、 遠藤 は 独り 婆さん の 家 の 前 に たたずみ	ながら	、 二 階 の 硝子窓 に 映る 火影 を 口惜し そう に 見つめ て い まし た 。	婆さん の 家 の 前 に たたずみ	、 *T* 二 階 の 硝子窓 に 映る 火影 を 口惜し そう に 見つめ て い まし た 。	synchronous	0	0	0	0	0	0	0
6	132_aozora_Akutagawa-1921	こう 呟い た 遠藤 は 、 その 紙切れ を 、 拾い上げ	ながら	そっと 隠し た 懐中電燈 を 出し て 、 まん円 な 光 に 照らし て 見 まし た 。	*pro* 拾い上げ	*T* *pro* そっと 隠し た 懐中電燈 を 出し て	synchronous	0	0	0	0	0	0	0
7	154_aozora_Akutagawa-1921	その 時 あの 印度人 の 婆さん は 、 ランプ を 消し た 二 階 の 部屋 の 机 に 、 魔法 の 書物 を 拡げ	ながら	、 頻に 呪文 を 唱え て い まし た 。	*T* *の* ランプ を *pro* 消し た 二 階 の 部屋 の 机 に 、 魔法 の 書物 を 拡げ	、 頻に 呪文 を 唱え て い まし た 。	synchronous	0	0	0	0	0	0	0
8	162_aozora_Akutagawa-1921	婆さん は 呪文 を 唱え て しまう と 、 今度 は 妙子 を めぐり	ながら	、 いろいろ な 手ぶり を し 始め まし た 。	妙子 を めぐり	、 *T* いろいろ な 手ぶり を し 始め まし た 。	synchronous	0	0	0	0	0	0	0
9	178_aozora_Akutagawa-1921	やがて あの 魔法使い が 、 床 の 上 に ひれ伏し た まま 、 嗄れ た 声 を 挙げ た 時 に は 、 妙子 は 椅子 に 坐り	ながら	、 殆ど 生死 も 知ら ない よう に 、 いつ か もう ぐっすり 寝入っ て い まし た 。	椅子 に 坐り	、 殆ど 生死 も 知ら ない よう に 、 いつ か もう ぐっすり 寝入っ て い まし た 。	synchronous	0	0	0	0	0	0	0
