	kainoki_id	first_half	connective	second_half	classification_label	ASP	NEG	MOD	CNJ	FOC	QUE	IMP
1	337_aozora_Andersen-1967-2	けれども 、 死ん で しまえ ば 、 わたしたち は あわ に なっ て 、 海 の 面 に 浮い て 出 て しまう から 、 海 の 底 の なつかしい 人たち の	ところ	で 、 お墓 を 作っ て もらう こと が でき ない ん だ よ 。	location	0	0	0	0	0	0	0
2	44_aozora_Doyle-1892	だが グッジ街 の 角 に たどり着い た	ところ	で 、 その 見知ら ぬ 男 は 数 人 の 荒くれども に 絡ま れ て しまっ た 。	temporal	0	0	0	0	0	0	0
3	110_aozora_Doyle-1892	額 が すっかり 隠れ 、 鼻柱 の	ところ	で 止まっ た 。	location	0	0	0	0	0	0	0
5	102_aozora_Harada-1960	というのは 、 ベッド の なか に い た の で は 、 あれこれ 考え た	ところ	で 理 に かなっ た 結論 に 到達 する こと は ある まい 、 と はっきり と 気づい た の だっ た 。	concession	0	1	0	0	0	0	0
6	187_aozora_Harada-1960	「 あの 子 は 身体 の 工合 が よく ない ん です 」 と 、 母親 は 父親 が まだ ドア の	ところ	で しゃべっ て いる あいだ に 支配人 に向って いっ た 。	location	0	0	0	0	0	0	0
7	405_aozora_Harada-1960	だが 、 その 瞬間 、 抑え た 動き の ため に 身体 を ぶらぶら ゆすり ながら 、 母親 から いくら も 離れ て い ない	ところ	で 母親 と ちょうど 向かい合っ て 床 の 上 に 横たわっ た とき に 、 まったく 放心状態 に ある よう に 見え た 母親 が がば と 高く 跳び上がり 、 両腕 を 大きく 拡げ 、 手 の 指 を みんな 開い て 、 叫ん だ の だっ た 。	location	0	0	0	0	0	0	0
8	468_aozora_Harada-1960	ドア の	ところ	で やっと 、 なんで そこ まで おびきよせ られ て いっ た の か 、 わかっ た 。	location	0	0	0	0	0	0	0
9	896_aozora_Harada-1960	しかし 、 きっと 何 週間 も そこ に い て み た	ところ	で 、 妹 が あらためる という こと は ない だろう 。	concession	0	0	1	0	0	0	0
10	1032_aozora_Harada-1960	彼 は 三 人 を ただ 押しまくっ て いっ た が 、 最後 に 部屋 の ドア の	ところ	で まんなか の 人 が 足 を 踏み鳴らし た ので 、 父親 は やっと とまっ た 。	location	0	0	0	0	0	0	0
11	52_aozora_Hayakawa-1983	こんな	ところ	で は 安全 の ため に 上 の カラビナ に アブミ を かけ て のっ て から 、 下 の カラビナ と ザイル を はずす という 厄介 な のぼり方 を する 。	location	0	0	0	0	0	0	0
12	80_aozora_Hayakawa-1983	丁度 、 二〇 メートル 出 た	ところ	で ザイル が 動か ない から のぼっ て 欲しい と N が いう 。	location	0	0	0	0	0	0	0
13	101_aozora_Hayakawa-1983	こんな ハーケン で こんな	ところ	で 一 晩 明かす の は ごめん だ 。	location	0	0	0	0	0	0	0
14	109_aozora_Hayakawa-1983	こんな	ところ	で 二人 して 動揺 し て は いけ ない 。	location	0	0	0	0	0	0	0
15	32_aozora_Hisao-1939	思い も かけ ぬ よう な	ところ	で ピリッと 辛い の で ある 。	location	0	0	0	0	0	0	0
17	106_aozora_Hisao-1939	三十 を 三 つ も 越し て いる のに 、 なに を する で も なく のらくら と こんな	ところ	で 日 を 送っ て いる 。	location	0	0	0	0	0	0	0
19	233_aozora_Hisao-1939	容易 に 感情 を 動かさ ず 、 たいへん 忍耐強い ので 、 ちょいと 見る と 内気 な だけ の 娘 の よう だ が 、 さすが 長六閣下 の 血統 だけあって 、 そうとう 骨 が 硬く 甘く 見 て いいかげん の こと を する と 、 ギリギリ の	ところ	で ひどい 目 に あわ なくて は なら ない 。	temporal	0	1	0	0	1	0	0
22	355_aozora_Hori-1969	支那 の 外 の ところ は あまり お好き で ない らしかっ た が 、 都市 全体 が 「 古い 森林 の よう な 」 感じ の する 北京 だけ は よほど お気に入ら れ た と 見え 、 自分 は こういう	ところ	で 孤独 な 晩年 を 過し ながら 誰 に も 知ら れ ずに 死ん で ゆき たい など と 御常談 の よう に お書き に なっ て 寄こさ れ た こと も あっ た が 、 まさか 今が今 こんな 事 に なろ う と は 私 に は 考え られ なかっ た 。	location	0	0	0	0	0	0	0
23	361_aozora_Hori-1969	が 、 直接 お逢い し て み た	ところ	で 、 手紙 以上 の こと が どうして あの 方 に向って 私 に 云え た だろう ？	concession	0	0	1	0	0	1	0
26	192_aozora_Kunieda-1925	と 云っ て 泥棒 の 庄司甚内 が 足 を 洗っ て 遊女屋 に なり 廓中支配役 に なる よう な こと は 絶対 に ある べき 筈 は ない し 、 もし また それ が あっ た にしても 、 自分 は 賊 で あっ た 庄司甚内 を かつて 一 度 も 見 た こと が ない から 、 たとえ 顔 を 合わせ た	ところ	で それ と 知る こと は 出来 そう も ない 」	concession	0	1	1	0	1	0	0
27	201_aozora_Kunieda-1925	山海 の 珍味 と 云っ た	ところ	で 、 この 時分 の 江戸 の 料理 と 来 て は 京大坂 に比べて 、 不味さ加減 が 話 に も なら ぬ 。	concession	0	1	0	0	0	0	0
28	160_aozora_Miyamoto-1925	つい この 間 の 晩 、 縁側 の	ところ	で 、 私 は 妙 な 一 匹 の 這う 虫 を 見つけ た 、	location	0	0	0	0	0	0	0
30	595_aozora_Miyazawa-1934	わき水 の	ところ	で 三郎 は やっぱり だまっ て 、 きっと 口 を 結ん だ まま みんな に 別れ て 、 じぶん だけ おとうさん の 小屋 の ほう へ 帰っ て 行き まし た 。	location	0	0	0	0	0	0	0
31	60_aozora_Murou-1922	その 年 の 秋 に 、 赤星重右 が 断岩 の 陰っ た	ところ	で 、 蠅 の うずまき の 中 に 、 死体 と なっ て いる の を 村人 は 見つけ た 。	location	0	0	0	0	0	0	0
32	93_aozora_Nakaya-1900	純鉄 の 場合 が はっきり し て いる の で ある が 、 この 火花 は 、 その 末端 に 近い	ところ	で 、 一 度 光 が 弱まり 、 まさに 消え よう と し て 、 それから また 急 に 光 が 強まり 、 今度 は 本当 に 消え て しまう 。	location	0	0	0	0	0	0	0
33	106_aozora_Nakaya-1900	その 最初 の	ところ	で 、 水蒸気 が 凝縮 し て 雲 の 粒 に なる とき に 、 核 、 すなわち 芯 に なる もの が 必要 で ある 。	temporal	0	0	0	0	0	0	0
34	175_aozora_Nakaya-1900	丁度 その 頃 に 先生 は 、 この 本 の 第二 篇 第三 章 「 実在 」 の	ところ	で 、 次 の よう な 記述 を さ れ て いる 。	location	0	0	0	0	0	0	0
35	26_aozora_Nomura-12-1954	もっとも 仙台 の 二高 や 早稲田 で は その 前 から 「 シャーロック・ホームズ 」 が 採用 さ れ て おり 、 当時 は ホームズ の 翻訳 も 、 ボツボツ 日本 で 見 られ た 時代 で 、 英語 の 先生 を 説き伏せ た	ところ	で 、 大した 手柄 で は ない 。	concession	0	1	0	0	1	0	0
36	89_aozora_Nomura-13-1954	余事 は さておき 、 私 は この 問 に対して 、 「 それ は なん で も ない こと だ 、 将棋さし が 詰将棋 の 手 を 考える の と 同じ こと だ 、 木村名人 が 生涯 に 三百 題 の 詰将棋 を 考え た	ところ	で 、 少し の 不思議 も ない で は ない か 」 ―― と 。	concession	0	1	0	0	1	0	0
37	63_aozora_Nomura-15-1954	この 種 の 物語 に は 、 必ず トリック を 必要 と する こと も 当然 で ある が 、 トリック の 巧拙 は 、 ほとんど 作者 の 天分 に ある こと で 、 急 に 心掛け た	ところ	で 、 最上等 の トリック を こしらえあげる こと の 出来 ない の は いう までも ない 。	concession	0	0	0	0	0	0	0
38	67_aozora_Nomura-15-1954	それ は いずれ も 堂々 たる 長篇 で 、 私 が 四百 篇 以上 も 書い た	ところ	で 、 その 九十 パーセント まで は 短篇 だ から 、 あまり 威張れる わけ で は ない 。	concession	0	0	0	0	0	0	0
39	125_aozora_Nomura-15-1954	我々 捕物作家 は 、 そう 考え た	ところ	で 、 少し も 恥ずかしい こと で は ない と 思う 。	concession	0	0	0	0	0	0	0
40	83_aozora_Nomura-18-1954	銭形平次 を プルタークス の 『 英雄伝 』 に 入れ換え た	ところ	で 、 今 の 御時世 で は 、 総理大臣 を 偉大 に する 途 で は ある まい 。	concession	0	1	0	0	1	0	0
41	103_aozora_Oda-1976-1	ホール の 真中 で ダンサー が 倒れ た	ところ	で 、 きのう きょう の 世相 が うみ出し て いる 数々 の 生々しい 事件 に くらべれ ば 、 大した 異色 が ある わけ で は ない 。	concession	0	1	0	0	1	0	0
42	1259_aozora_Oda-1976-2	娘 が スリ に まか れ て しまっ た	ところ	で 、 べつ に 悲観 も し ない 。	concession	0	1	0	0	1	0	0
44	34_aozora_Saito-1963	当時 、 大山園 は 電灯 の ない 立ち木 の 多い 山 でし た が 、 暗い	ところ	で も 犬 は 見え ます し 、 忠実 な 強い 出羽 が いっしょ です ので 、 夜 で も 安心 だっ た わけ です 。	location	0	0	0	0	0	0	0
45	83_aozora_Saito-1963	道 の 分かれ て いる	ところ	で は 、 振り返っ て 、 深沢さん の 左右 の 手 の 合図 で 、 その 方 に 進ん で 行き ます 。	location	1	0	0	0	0	0	0
46	94_aozora_Saito-1963	また 両岸 数十 メートル の 絶壁 で 、 岸壁間 に 大丸太 を 横 に 渡し 、 その 上 に 中丸太 三 本 を たて に のせ て 、 長い 橋 を かけ 、 下 は 激流 が 白アワ を ふい て 流れ 、 目 も くらむ よう な	ところ	で も 、 この 黒虎毛 は 平気 な 顔 を し て 、 軽く 渡っ て 歩く の に は これまた 驚き まし た 。	location	0	0	0	0	0	0	0
47	8_aozora_Terada-1921	それ は とにかく 、 自分 は 今 の	ところ	で は 田舎 より も 都会 に 生活 する 事 を 希望 し 、 それ を 実行 し て いる 。	temporal	0	0	0	0	0	0	0
48	177_aozora_Togawa-1937-1	―― 助け を 呼ん だ	ところ	で 助かる わけ の もの で は ない から 。	concession	0	1	0	0	1	0	0
49	52_aozora_Umezaki-1966	水 が 小石 に あたる よう な 、 遠い	ところ	で 雨 が 降る よう な 、 不思議 に 耳慣れ た おと が する 。	location	0	0	0	0	0	0	0
50	288_aozora_Umezaki-1966	台町 に 入りこむ 露地 の	ところ	で 私 は 立ち止っ た 。	location	0	0	0	0	0	0	0
51	329_aozora_Umezaki-1966	寝床 の 裾 の	ところ	で 、 歔泣 の 声 が 起っ た 。	location	0	0	0	0	0	0	0
52	662_aozora_Umezaki-1966	僕 は あなた が 、 僕 の 知ら ぬ	ところ	で 僕 の 知ら ぬ こと を し て いる と 思う と 、 いらいら し て 居 て も 立っ て も い られ なく なる 」	location	0	0	0	0	0	0	0
54	107_aozora_Yamakawa-1962-2	どこ まで 歩い て み た	ところ	で 、 ある もの は 肌 に べとべと と まつわりつく 湿っぽい 夏 の 空気 、 多 すぎる 人間たち の 人いきれ と ビル の 鉄杭 を 打つ 轟音 、 そして せわしなく 往き来 する 洋服 の 人びと と 自動車 の 洪水 、 巨大 な その 騒音 と 活気 の 氾濫 で しか ない の だ 。	concession	0	1	0	0	1	0	0
55	7_book_excerpt-1	「 それなら どうして お前 の	ところ	で は そんな こと を し て いる の か 。	location	0	0	0	0	0	1	0
59	80_diet_kaigiroku-12	演説 が 終わり まし た	ところ	で 、 動議 により 、 国務大臣 の 演説 に対する 質疑 は 延期 し 、 来る 三十 日 に 行う こと を 決定 し て いただき ます 。	temporal	0	0	0	0	0	0	0
60	80_diet_kaigiroku-14	演説 が 終わり まし た	ところ	で 、 動議 により 、 国務大臣 の 演説 に対する 質疑 は 延期 し 、 明 二十一 日 に これ を 行う こと を 決定 し て いただき ます 。	temporal	0	0	0	0	0	0	0
62	28_essay_crossover27_IharaOct2015	ポーランド は 北欧ルネサンス の 地 として も 知ら れ 、 多く の 学者 、 文人 が 集まっ て くる	ところ	で も あり まし た 。	location	0	0	0	0	0	0	0
63	24_essay_crossover29_Ihara2016	ダ・ヴィンチ の	ところ	で 触れ た よう に 種々 の 機械 が すでに 生産活動 の 中 に 重要 な 位置 を 占め 始め た 時代 に 、 この よう に 機械 の 働き の 本質的 な こと に 言及 し て も い まし た 。	location	0	0	0	0	0	0	0
64	23_essay_GSISnewsletter14_Obata2017	別 の	ところ	で は 、 こう も 言っ て いる 。	location	0	0	0	0	0	0	0
66	47_essay_manabi69_Nakajima2014autumn	また 、 この ストーリー が 正しけれ ば 、 生産 における 企業間分業体制 が より 重要 な 産業 や 地域 において 、 より 企業間 の つながり が 重要 で ある こと が 予想 さ れ ます が 、 実際 に そういう	ところ	で 中心性 、 つまり 企業 の つながり の 果たす 役割 が より 強い こと など が わかり まし た 。	location	0	0	0	0	0	0	0
67	25_essay_manabi83_Akaike2018spring	二 個 の システイン分子 が －ＳＨ の	ところ	で 水素 を 外し て －Ｓ－Ｓ－ と 結合 する の が ジスルフィド結合 です が 、 これ により たんぱく質 の 立体構造 を 安定化 さ せる ため 、 機能的 に も 重要 です 。	location	0	0	0	0	0	0	0
