	kainoki_id	first_half	connective	second_half	arg1	arg2	classification_label	ASP	NEG	MOD	CNJ	FOC	QUE	IMP
0	405_fiction_onna_to_senso	わたし は その 忍耐強さ に 感心 し	つつ	、 何 の 抵抗 も し ない 母 が 歯がゆかっ た 。	わたしはその忍耐強さに感心し	、何の抵抗もしない母が歯がゆかった。	A/B	0	0	0	0	0	0	0
1	220_aozora_Dazai-2-1940	押し流さ れ	つつ	も 、 見事 、 対岸 の 樹木 の 幹 に 、 すがりつく 事 が 出来 た の で ある 。	押し流され	、見事、対岸の樹木の幹に、すがりつく事が出来たのである。	concession	0	0	0	0	0	0	0
2	552_aozora_Oda-1976-2	しかし 、 不健全 な もの へ 、 悪い と 知り	つつ	、 かえって 惹きつけ られ て 行く の が マニヤ の 自虐性 で あり 、 当然 アンプル を 割る 音 は 頽廃 の 響き に 濁る 筈 だ のに 、 ふと 真空 の 虚ろ に 澄ん で いる の は 、 頽廃 の 倫理 の よう で も あっ た 。	悪いと知り	、かえって惹きつけられて行く	concession	0	0	0	0	0	0	0
3	6_book_excerpt-26	やれやれ どう し よう 、 と 思い ながら も 居心地 の 良い バラナシ を 去る 気 に も なれ ず 、 汽車 の 切符 を 買う 大変さ を 考え て は やはり 腰 が 上がら ず 、 あと 二 、 三 日 と 思い	つつ	ずるずる と 居着い て しまっ て い た の だ 。	あと二、三日と思い	ずるずると居着いてしまっていたのだ。	concession	0	0	0	0	0	0	0
4	71_diet_kaigiroku-5	特に 、 関係諸国間 の 緊密 な 協議 と 協調 により 、 事態 の 悪化 を 事前 に 防止 する こと の 必要性 について 意見 の 一致 を 見 た こと や 、 インフレ の 再燃 を 回避 し	つつ	、 経済 の 持続的拡大 を 図る 必要性 について 共通 の 認識 を 得 た こと は 大きな 成果 で あり まし た 。	インフレの再燃を回避し	、経済の持続的拡大を図る	concession	0	0	0	0	0	0	0
5	10_essay_crossover27_IharaOct2015	前回 、 ダ・ヴィンチ の 交通機関体系 の 創造 に 触れ た の も 、 船舶活用 の 可能性 から 水上交通 を 基軸 に し	つつ	も 、 陸上 、 空中 へ の デザイン を 展開 し た モーティブフォース が 大航海 に あっ た の で は ない か と 推測 し た から です 。	船舶活用の可能性から水上交通を基軸にし	、陸上、空中へのデザインを展開した	concession	0	0	0	0	0	0	0
6	19_essay_manabi72_Kuroda2015summer	従って 、 イスラーム の 理念性 を 念頭 に 置き	つつ	も 、 ムスリムたち の 歴史 は 大いに 可変的 で 、 事実 、 時代時代 で 否定 し がたい 変容 を こうむっ て き た こと に 注目 す べき だ と 思い ます 。	イスラームの理念性を念頭に置き	、ムスリムたちの歴史は大いに可変的で、事実、時代時代で否定しがたい変容をこうむってきたことに注目すべきだ	concession	0	0	1	0	0	0	0
7	531_fiction_munashisanoshotai	そう 言わ れ	つつ	も 仰向け に さ れ た まま だっ た 。	そう言われ	仰向けにされたままだった。	concession	0	0	0	0	0	0	0
8	25_fiction_onna_to_senso	女 の 感性 が 高く 評価 さ れ	つつ	、 一方 力 の 論理 によって 強引 に 圧しつぶさ れ て しまっ た 事実 を 見落とす と 、 女 の 解放 は 、 また 幻想 に 終わる の で は ない か 。	高く評価され	、一方力の論理によって強引に圧しつぶされてしまった	concession	0	0	0	1	0	0	0
9	30_fiction_onna_to_senso	わたし は 柳田国男 に 代表 さ れる 先生方 の 学問 の スケール の 大きさ に 驚き	つつ	、 それ は 結局 は 女 に は あまり 役立た なかっ た の で は ない か という 疑問 を 抱い て しまう 。	柳田国男に代表される先生方の学問のスケールの大きさに驚き	、それは結局は女にはあまり役立たなかったのではないかという疑問を抱いてしまう。	concession	0	0	0	0	0	0	0
10	395_fiction_onna_to_senso	ためらい	つつ	東京言葉 で 話 に 割りこん だ の だ が 、 みな 気さく に こちら に 通じる 言葉 、 やや 関西なまり で 話し て くれ た 。	ためらい	東京言葉で話に割りこんだのだ	concession	0	0	0	0	0	0	0
11	409_fiction_onna_to_senso	わたし も また 世 の ひずみ を 感じ	つつ	管理 さ れ て いる 。	世のひずみを感じ	管理されている。	concession	0	0	0	0	0	0	0
